# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
2851,169,271,198,303,260,-23.931,-7.763,-10.802,0.0000,0.0870,0.0075,0.3351,0.0954,1,0
2900,170,271,198,303,260,-5.656,-0.244,-7.519,0.0000,0.0870,0.0075,0.3351,0.0954,1,0
2900,170,271,198,303,260,-5.656,-0.244,-7.519,0.0000,0.0870,0.0075,0.3351,0.0954,1,0
2951,170,272,198,303,261,39.321,83.145,28.168,0.0000,0.0952,0.0075,0.3351,0.1004,1,0
3000,169,272,198,303,261,-0.664,14.908,-2.588,0.0000,0.0952,0.0075,0.3351,0.1004,1,0
3053,169,271,198,304,261,2.885,1.679,3.908,0.0000,0.0870,0.0075,0.3439,0.1004,1,0
3101,169,271,198,304,262,15.771,1.687,0.275,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3154,169,271,198,304,262,2.359,-0.427,0.626,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3201,169,271,198,304,262,4.863,-2.183,1.710,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3254,169,271,198,304,263,2.046,6.244,1.000,0.0000,0.0870,0.0075,0.3439,0.1105,1,0
3301,169,271,198,304,262,1.687,4.473,4.824,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3350,169,271,198,304,263,-1.527,8.435,8.420,0.0000,0.0870,0.0075,0.3439,0.1105,1,0
3402,168,271,198,304,262,-2.397,13.076,11.466,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3451,168,271,198,304,262,-7.473,11.450,10.099,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3502,168,271,198,304,262,-1.160,6.252,4.939,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3551,168,271,198,304,262,-0.160,6.221,0.634,0.0000,0.0870,0.0075,0.3439,0.1054,1,0
3602,168,271,198,303,261,4.137,2.511,-1.221,0.0000,0.0870,0.0075,0.3351,0.1004,1,0
3651,168,270,198,303,261,-2.519,2.344,0.412,0.0000,0.0789,0.0075,0.3351,0.1004,1,0
3703,167,269,199,303,260,1.527,4.695,-1.053,0.0000,0.0707,0.0189,0.3351,0.0954,1,0
3752,167,269,199,303,260,2.420,4.229,-1.061,0.0000,0.0707,0.0189,0.3351,0.0954,1,0
3801,167,269,198,302,259,10.191,1.962,0.489,0.0000,0.0707,0.0075,0.3264,0.0904,1,0
